Step,Temp,E_pair,E_mol,TotEng,Press
4600,0.46049168,-2.2447855,0.056584242,-1.7280933,1.3129452
4650,0.44967803,-2.2422537,0.056600537,-1.7363499,1.3760373
4700,0.45958099,-2.2504968,0.060880946,-1.7304178,1.3023064
4750,0.45054472,-2.2408131,0.061861203,-1.7287827,1.264336
4800,0.46047418,-2.2445848,0.061677545,-1.7228168,1.3075586
4850,0.45619751,-2.2520249,0.058371164,-1.7378364,1.2246583
4900,0.46504727,-2.2677359,0.068001671,-1.7350745,1.1909792
4950,0.45849343,-2.2645933,0.066268304,-1.7402136,1.2551619
5000,0.46241266,-2.252646,0.062522864,-1.7280958,1.2353294
5050,0.45519356,-2.2576521,0.065169947,-1.737668,1.2105976
5100,0.45202464,-2.2646639,0.070313811,-1.7427021,1.2125348
5150,0.4653015,-2.2548512,0.064880661,-1.7250568,1.2159676
5200,0.4567951,-2.2515804,0.069487062,-1.7256789,1.2708149
5250,0.4835795,-2.287646,0.069299048,-1.7351704,1.0175042
5300,0.46444307,-2.266256,0.06791856,-1.7342814,1.2468893
5350,0.46664916,-2.2755311,0.068560596,-1.7407103,1.2173582
5400,0.46334351,-2.2646511,0.059182732,-1.7425109,1.3351112
5450,0.44966248,-2.2517685,0.066666042,-1.7358147,1.2987473
5500,0.46618863,-2.258466,0.07105394,-1.7216119,1.2521943
5550,0.46070148,-2.2591943,0.059834725,-1.739042,1.2511225
5600,0.45,-2.2770808,0.062041155,-1.7654147,1.1727592
5650,0.45021352,-2.271569,0.064475251,-1.7572554,1.2114937
5700,0.46035032,-2.2860187,0.059575638,-1.7664763,1.2045677
5750,0.45761753,-2.2678105,0.05693029,-1.7536441,1.3849273
5800,0.46202088,-2.2908765,0.066933063,-1.7623076,1.1928721
5850,0.45836261,-2.2871503,0.068207911,-1.7609618,1.010306
5900,0.45475203,-2.2672898,0.057273776,-1.7556429,1.2074274
5950,0.46630716,-2.2794638,0.054496278,-1.759049,1.2731903
6000,0.45233541,-2.2683393,0.059258665,-1.7571221,1.313025
6050,0.4478832,-2.2719992,0.064300481,-1.7601887,1.2186275
6100,0.44682616,-2.2833926,0.072383815,-1.764555,1.1702135
6150,0.44687122,-2.2615289,0.057554266,-1.7574758,1.2681221
6200,0.45468678,-2.2748246,0.063749045,-1.7567677,1.1332118
6250,0.45401647,-2.2610211,0.063026536,-1.7443564,1.1930434
6300,0.46371128,-2.2979719,0.067866068,-1.766781,1.1021416
6350,0.46236351,-2.2855438,0.072373586,-1.751192,0.93397086
6400,0.44921321,-2.2703817,0.066832198,-1.7547106,1.1699971
6450,0.45079049,-2.2797298,0.071895729,-1.7574192,1.0603301
6500,0.45065354,-2.2641582,0.072119108,-1.7417611,1.1165583
6550,0.46449983,-2.2811457,0.067525379,-1.7495075,1.0658257
6600,0.45600907,-2.2713662,0.065161905,-1.7505752,1.1757009
6650,0.45910501,-2.2642363,0.060450287,-1.7450636,1.2280728
6700,0.45424662,-2.2458415,0.057750446,-1.734223,1.301975
6750,0.46391578,-2.2639549,0.062581981,-1.7378438,1.1652846
6800,0.46259236,-2.2660636,0.066864921,-1.7369918,1.107916
6850,0.46564039,-2.2710216,0.065383013,-1.7403862,1.2059933
6900,0.44923035,-2.2497687,0.052987327,-1.7479254,1.3652619
6950,0.46878197,-2.2674103,0.070854041,-1.7281649,1.2067284
7000,0.46403645,-2.2654966,0.057382334,-1.7444645,1.2619879
7050,0.47511089,-2.2803244,0.060190904,-1.7454186,1.1470816
7100,0.46614625,-2.2725643,0.065343044,-1.7414634,1.2419636
7150,0.46242955,-2.2725644,0.075064313,-1.7354559,1.0961997
7200,0.4699998,-2.2903889,0.063261228,-1.7575196,1.1160574
7250,0.48366377,-2.2917337,0.064123954,-1.744349,0.98715776
7300,0.45,-2.2865446,0.066374199,-1.7705454,1.0621787
7350,0.45806556,-2.2881888,0.064740701,-1.7657642,0.92000712
7400,0.45356891,-2.2789071,0.062382061,-1.7633341,1.0085375
7450,0.46033077,-2.2932262,0.066006444,-1.7672726,0.83970301
7500,0.46576643,-2.3022137,0.059376669,-1.7774588,1.0044592
7550,0.45209376,-2.2826581,0.06674615,-1.764195,1.0460254
7600,0.45231146,-2.2902962,0.061513195,-1.7768485,1.1366722
7650,0.46433627,-2.2996533,0.061404481,-1.7742995,1.0404885
7700,0.45579062,-2.2685272,0.058613347,-1.7545031,1.096333
7750,0.47770662,-2.3097285,0.062925886,-1.7694941,0.93034162
7800,0.45536784,-2.2778373,0.066788971,-1.75606,1.1224633
7850,0.45751087,-2.2930645,0.060811092,-1.7751238,1.0902822
7900,0.45338607,-2.2814271,0.063070874,-1.765348,1.0665695
7950,0.45499254,-2.2749452,0.062389217,-1.7579426,1.0895965
8000,0.46562181,-2.297733,0.062318296,-1.7701809,0.96072113
8050,0.46166336,-2.2821254,0.058028582,-1.7628182,1.0665892
8100,0.45,-2.289304,0.055570625,-1.7841084,1.0977481
8150,0.44191499,-2.2759419,0.056995167,-1.7774,1.0144912
8200,0.4348296,-2.2972655,0.065949188,-1.7968491,1.0687567
